VOLCANX020,NUMBER,NAME,LOCATION,STATUS,ELEV,TYPE,SbUnitID,TIMEFRAME,LAT,LON
5,,BRADDOCK,W,83709,12550,12550 W BRADDOCK,,Boise,43.60217251,-116.3388475
5,,BRADDOCK,W,83709,12534,12534 W BRADDOCK,,Boise,43.60213482,-116.3385084
4,,BRADDOCK,W,83709,12462,12462 W BRADDOCK,,Boise,43.60212976,-116.337692
4,,BRADDOCK,W,83709,12498,12498 W BRADDOCK,,Boise,43.60210346,-116.3381061
6,,BRADDOCK,W,83709,12601,12601 W BRADDOCK,,Boise,43.60201574,-116.3395584
5,,BRADDOCK,W,83709,12575,12575 W BRADDOCK,,Boise,43.60197582,-116.3391488
4,,BRADDOCK,W,83709,12463,12463 W BRADDOCK,,Boise,43.60190327,-116.3377457
5,,BRADDOCK,W,83709,12549,12549 W BRADDOCK,,Boise,43.60192839,-116.3387849
5,,BRADDOCK,W,83709,12531,12531 W BRADDOCK,,Boise,43.60188971,-116.338407
4,,BRADDOCK,W,83709,12497,12497 W BRADDOCK,,Boise,43.60187324,-116.3380831
5,,CAMAS,W,83709,12522,12522 W CAMAS,,Boise,43.59456732,-116.3384013
3,,OVERLAND,W,83709,12336,12336 W OVERLAND,,Boise,43.59050854,-116.3359885
2,,CLOVERDALE,S,83709,1525,1525 S CLOVERDALE,,Boise,43.59117144,-116.3348209
2,,OVERLAND,W,83709,12274,12274 W OVERLAND,,Boise,43.59052562,-116.3354208
2,,OVERLAND,W,83709,12222,12222 W OVERLAND,,Boise,43.59050068,-116.3347658
6,,WINTHROP,S,83709,1065,1065 S WINTHROP,,Boise,43.59532399,-116.3401546
5,,LEWISBURG,W,83709,12501,12501 W LEWISBURG,,Boise,43.59482382,-116.3381784
4,,RIDGE,W,83709,12426,12426 W VIEW RIDGE,,Boise,43.60308293,-116.3371637
4,,RIDGE,W,83709,12448,12448 W VIEW RIDGE,,Boise,43.60298152,-116.3376516
2,,ROCKBURY,W,83709,12278,12278 W ROCKBURY,,Boise,43.60151874,-116.3352207
3,,ROCKBURY,W,83709,12305,12305 W ROCKBURY,,Boise,43.6011806,-116.3357034
2,,ROCKBURY,W,83709,12283,12283 W ROCKBURY,,Boise,43.60112559,-116.3352952
5,,TRAFALGER,W,83709,12568,12568 W TRAFALGER,,Boise,43.60140955,-116.339108
5,,TRAFALGER,W,83709,12552,12552 W TRAFALGER,,Boise,43.6014551,-116.3388022
5,,TRAFALGER,W,83709,12524,12524 W TRAFALGER,,Boise,43.60144748,-116.338318
2,,ROCKBURY,W,83709,12270,12270 W ROCKBURY,,Boise,43.60141727,-116.3349819
5,,TRAFALGER,W,83709,12527,12527 W TRAFALGER,,Boise,43.60104631,-116.3383807
2,,OLDHAM,W,83709,12242,12242 W OLDHAM,,Boise,43.60042216,-116.3349298
2,,OLDHAM,W,83709,12230,12230 W OLDHAM,,Boise,43.6002194,-116.3349203
1,,WINTHROP,S,83709,1010,1010 S WINTHROP,,Boise,43.59572084,-116.3395804
5,,LEWISBURG,W,83709,12588,12588 W LEWISBURG,,Boise,43.59567823,-116.3384354
5,,NORRISTOWN,W,83709,12573,12573 W NORRISTOWN,,Boise,43.59575573,-116.3389816
5,,CASTLEWOOD,W,83709,12528,12528 W CASTLEWOOD,,Boise,43.59360096,-116.3383859
4,,CASTLEWOOD,W,83709,12422,12422 W CASTLEWOOD,,Boise,43.59360657,-116.3372962
4,,CASTLEWOOD,W,83709,12456,12456 W CASTLEWOOD,,Boise,43.59359854,-116.3378556
3,,CASTLEWOOD,W,83709,12384,12384 W CASTLEWOOD,,Boise,43.59359918,-116.33673
3,,CASTLEWOOD,W,83709,12350,12350 W CASTLEWOOD,,Boise,43.59359658,-116.3362029
3,,CASTLEWOOD,W,83709,12332,12332 W CASTLEWOOD,,Boise,43.59348899,-116.3361194
5,,CASTLEWOOD,W,83709,12549,12549 W CASTLEWOOD,,Boise,43.59335339,-116.3388954
5,,CASTLEWOOD,W,83709,12533,12533 W CASTLEWOOD,,Boise,43.59338265,-116.3382947
4,,CASTLEWOOD,W,83709,12459,12459 W CASTLEWOOD,,Boise,43.59336109,-116.3377869
